"","tf","confidence","target","mor"
"136","ADNP","D","ERN2",1
"137","ADNP","D","FAF1",1
"138","ADNP","D","FAM222A",1
"139","ADNP","D","FBN3",1
"140","ADNP","D","FBXW11",1
"141","ADNP","D","FCHO1",1
"142","ADNP","D","FHAD1",1
"143","ADNP","D","FIBCD1",1
"144","ADNP","D","FLNB",1
"145","ADNP","D","FNIP2",1
"146","ADNP","D","FXN",1
"147","ADNP","D","GABBR2",1
"148","ADNP","D","GADD45B",1
"149","ADNP","D","GDF15",1
"150","ADNP","D","GDPD5",1
"151","ADNP","D","GFI1B",1
"152","ADNP","D","GMPR",1
"153","ADNP","D","GNA15",1
"154","ADNP","D","GPR160",1
"155","ADNP","D","GPR89P",1
"156","ADNP","D","GRIFIN",1
"157","ADNP","D","GRIP2",1
"158","ADNP","D","GRM4",1
"159","ADNP","D","GSE1",1
"160","ADNP","D","GSN",1
"161","ADNP","D","GTDC1",1
"162","ADNP","D","GTF2IRD1",1
"163","ADNP","D","H3C9P",1
"164","ADNP","D","HBS1L",1
"165","ADNP","D","HIP1",1
"166","ADNP","D","HJV",1
"167","ADNP","D","HMGA1P3",1
"168","ADNP","D","HMGB1P1",1
"169","ADNP","D","HMGB3P32",1
"170","ADNP","D","HMGN2P13",1
"171","ADNP","D","HMGN2P25",1
"172","ADNP","D","HMGN2P47",1
"173","ADNP","D","HMGN4",1
"174","ADNP","D","HNF1A",1
"175","ADNP","D","HNRNPA1P1",1
"176","ADNP","D","HSD17B12",1
"177","ADNP","D","HTR1D",1
"178","ADNP","D","ID1",1
"179","ADNP","D","IFFO2",1
"180","ADNP","D","IGF2BP2",1
"181","ADNP","D","IL12RB1",1
"182","ADNP","D","IL21R",1
"183","ADNP","D","INPP5B",1
"184","ADNP","D","INPP5D",1
"185","ADNP","D","INSR",1
"186","ADNP","D","IQSEC1",1
"187","ADNP","D","IRF2BP1",1
"188","ADNP","D","ITPR1",1
"189","ADNP","D","JAK3",1
"190","ADNP","D","KAZN",1
"191","ADNP","D","KCNK1",1
"192","ADNP","D","KCNK3",1
"193","ADNP","D","KCNN3",1
"194","ADNP","D","KIAA0232",1
"195","ADNP","D","KIF13A",1
"196","ADNP","D","KSR1",1
"197","ADNP","D","LAMC3",1
"198","ADNP","D","LAPTM5",1
"199","ADNP","D","LASP1",1
"200","ADNP","D","LDLRAP1",1
"201","ADNP","D","LGR4",1
"202","ADNP","D","LHPP",1
"203","ADNP","D","LINC00324",1
"204","ADNP","D","LINC00534",1
"205","ADNP","D","LINC00870",1
"206","ADNP","D","LINC00877",1
"207","ADNP","D","LINC00963",1
"208","ADNP","D","LINC01012",1
"209","ADNP","D","LINC01234",1
"210","ADNP","D","LINC01267",1
"211","ADNP","D","LINC01270",1
"212","ADNP","D","LINC01315",1
"213","ADNP","D","LINC01412",1
"214","ADNP","D","LINC01485",1
"215","ADNP","D","LINC01503",1
"216","ADNP","D","LINC01556",1
"217","ADNP","D","LINC01623",1
"218","ADNP","D","LINC01685",1
"219","ADNP","D","LINC01756",1
"220","ADNP","D","LINC01942",1
"221","ADNP","D","LINC01962",1
"222","ADNP","D","LINC01992",1
"223","ADNP","D","LINGO1",1
"224","ADNP","D","LIPC",1
"225","ADNP","D","LITAF",1
"226","ADNP","D","LLNLR",1
"227","ADNP","D","LMO2",1
"228","ADNP","D","LUC7L2",1
"229","ADNP","D","MAGI1",1
"230","ADNP","D","MAP3K7",1
"231","ADNP","D","MAPRE2",1
"232","ADNP","D","MARK4",1
"233","ADNP","D","MAST3",1
"234","ADNP","D","MATK",1
"235","ADNP","D","MB",1
"236","ADNP","D","MBNL1",1
"237","ADNP","D","MDM4",1
"238","ADNP","D","MDS2",1
"239","ADNP","D","MED18",1
"240","ADNP","D","METAZOA_SRP.104",1
"241","ADNP","D","MICAL2",1
"242","ADNP","D","MIER1",1
"243","ADNP","D","MIR1205",1
"244","ADNP","D","MIR1303",1
"245","ADNP","D","MIR145",1
"246","ADNP","D","MIR3143",1
"247","ADNP","D","MIR3194",1
"248","ADNP","D","MIR3681HG",1
"249","ADNP","D","MIR3922",1
"250","ADNP","D","MIR4418",1
"251","ADNP","D","MIR4425",1
"252","ADNP","D","MIR4472",1
"253","ADNP","D","MIR5093",1
"254","ADNP","D","MIR5189",1
"255","ADNP","D","MIR7854",1
"256","ADNP","D","MLXIPL",1
"257","ADNP","D","MN1",1
"258","ADNP","D","MRC2",1
"259","ADNP","D","MRPS22",1
"260","ADNP","D","MTSS1",1
"261","ADNP","D","MYB",1
"262","ADNP","D","MYL10",1
"263","ADNP","D","NCAM2",1
"264","ADNP","D","NCLN",1
"265","ADNP","D","NCOR2",1
"266","ADNP","D","NDST1",1
"267","ADNP","D","NEBL",1
"268","ADNP","D","NEK6",1
"269","ADNP","D","NFAT5",1
"270","ADNP","D","NFATC2",1
"271","ADNP","D","NFIA",1
"272","ADNP","D","NFIC",1
"273","ADNP","D","NIBAN2",1
"274","ADNP","D","NIBAN3",1
"275","ADNP","D","NOP56P1",1
"276","ADNP","D","NOSTRIN",1
"277","ADNP","D","NPRL3",1
"278","ADNP","D","NUP210",1
"279","ADNP","D","OAS3",1
"280","ADNP","D","PACSIN1",1
"281","ADNP","D","PADI4",1
"282","ADNP","D","PCBP1",1
"283","ADNP","D","PCYT1A",1
"284","ADNP","D","PDE4A",1
"285","ADNP","D","PDGFB",1
"286","ADNP","D","PECAM1",1
"287","ADNP","D","PELATON",1
"288","ADNP","D","PHF20",1
"289","ADNP","D","PKHD1L1",1
"290","ADNP","D","PKN1",1
"291","ADNP","D","PLCG2",1
"292","ADNP","D","PLD1",1
"293","ADNP","D","PLIN3",1
"294","ADNP","D","PLPP7",1
"295","ADNP","D","PLXNA2",1
"296","ADNP","D","PLXND1",1
"297","ADNP","D","POM121L2",1
"298","ADNP","D","PPIL3",1
"299","ADNP","D","PPP1R16B",1
"300","ADNP","D","PRCP",1
"301","ADNP","D","PREX1",1
"302","ADNP","D","PRF1",1
"303","ADNP","D","PRKAR2B",1
"304","ADNP","D","PRKCB",1
"305","ADNP","D","PRPF31",1
"306","ADNP","D","PRR5",1
"307","ADNP","D","PRSS16",1
"308","ADNP","D","PRX",1
"309","ADNP","D","PTP4A2",1
"310","ADNP","D","PTP4A3",1
"311","ADNP","D","PTPRJ",1
"312","ADNP","D","PTPRS",1
"313","ADNP","D","PVT1",1
"314","ADNP","D","R3HDM2",1
"315","ADNP","D","R3HDM4",1
"316","ADNP","D","RALGPS1",1
"317","ADNP","D","RANBP9",1
"318","ADNP","D","RAP1GAP",1
"319","ADNP","D","RAPGEF5",1
"320","ADNP","D","RASAL1",1
"321","ADNP","D","RBM19",1
"322","ADNP","D","RELB",1
"323","ADNP","D","RFX1",1
"324","ADNP","D","RHO",1
"325","ADNP","D","RHOBTB1",1
"326","ADNP","D","RHOH",1
"327","ADNP","D","RICTOR",1
"328","ADNP","D","RN7SL121P",1
"329","ADNP","D","RN7SL636P",1
"330","ADNP","D","RNF10P1",1
"331","ADNP","D","RNF216",1
"332","ADNP","D","RNU1-4",1
"333","ADNP","D","RNU6-1",1
"334","ADNP","D","RNU7-1",1
"335","ADNP","D","RP1",1
"336","ADNP","D","RPGR",1
"337","ADNP","D","RPH3A",1
"338","ADNP","D","RPL10P2",1
"339","ADNP","D","RPL12P33",1
"340","ADNP","D","RPS10P7",1
"341","ADNP","D","RPS4XP19",1
"342","ADNP","D","RPSAP2",1
"343","ADNP","D","RRAGC",1
"344","ADNP","D","RTN4",1
"345","ADNP","D","RUNX1",1
"346","ADNP","D","SAMSN1",1
"347","ADNP","D","SCARB1",1
"348","ADNP","D","SCN1B",1
"349","ADNP","D","SDC3",1
"350","ADNP","D","SDS",1
"351","ADNP","D","SDSL",1
"352","ADNP","D","SEC14L1",1
"353","ADNP","D","SELPLG",1
"354","ADNP","D","SEMA6B",1
"355","ADNP","D","SEPTIN9",1
"356","ADNP","D","SERINC5",1
"357","ADNP","D","SERPINH1",1
"358","ADNP","D","SGSM1",1
"359","ADNP","D","SH2B1",1
"360","ADNP","D","SIPA1L3",1
"361","ADNP","D","SLC13A3",1
"362","ADNP","D","SLC1A7",1
"363","ADNP","D","SLC22A23",1
"364","ADNP","D","SLC25A25",1
"365","ADNP","D","SLC29A3",1
"366","ADNP","D","SLC44A2",1
"367","ADNP","D","SLC4A1",1
"368","ADNP","D","SLC6A6",1
"369","ADNP","D","SLC7A11",1
"370","ADNP","D","SLC8B1",1
"371","ADNP","D","SLCO2B1",1
"372","ADNP","D","SMARCC1",1
"373","ADNP","D","SMURF1",1
"374","ADNP","D","SMYD3",1
"375","ADNP","D","SNUPN",1
"376","ADNP","D","SNX9",1
"377","ADNP","D","SOGA1",1
"378","ADNP","D","SOX5",1
"379","ADNP","D","SPC24",1
"380","ADNP","D","SPINT2",1
"381","ADNP","D","SPOCD1",1
"382","ADNP","D","SPPL3",1
"383","ADNP","D","SRC",1
"384","ADNP","D","SREBF2-AS1",1
"385","ADNP","D","STK10",1
"386","ADNP","D","STX18",1
"387","ADNP","D","SULT2B1",1
"388","ADNP","D","SUMO1P1",1
"389","ADNP","D","SYCN",1
"390","ADNP","D","SYN3",1
"391","ADNP","D","SYNJ2",1
"392","ADNP","D","SYT3",1
"393","ADNP","D","TAF1B",1
"394","ADNP","D","TAOK3",1
"395","ADNP","D","TBXAS1",1
"396","ADNP","D","TCF3",1
"397","ADNP","D","TENT5B",1
"398","ADNP","D","TESC",1
"399","ADNP","D","TGM2",1
"400","ADNP","D","TJP3",1
"401","ADNP","D","TLE2",1
"402","ADNP","D","TMC8",1
"403","ADNP","D","TMEM119",1
"404","ADNP","D","TMEM132B",1
"405","ADNP","D","TMEM212",1
"406","ADNP","D","TMEM40",1
"407","ADNP","D","TNFRSF1B",1
"408","ADNP","D","TPD52L1",1
"409","ADNP","D","TRANK1",1
"410","ADNP","D","TRERNA1",1
"411","ADNP","D","TRIB1",1
"412","ADNP","D","TRIM41",1
"413","ADNP","D","TRPV4",1
"414","ADNP","D","TSHZ2",1
"415","ADNP","D","TSPAN18",1
"416","ADNP","D","TTC39A",1
"417","ADNP","D","TUT4",1
"418","ADNP","D","TXNRD1",1
"419","ADNP","D","UBE2F",1
"420","ADNP","D","UBR3",1
"421","ADNP","D","UNC13A",1
"422","ADNP","D","UTRN",1
"423","ADNP","D","VCL",1
"424","ADNP","D","VWCE",1
"425","ADNP","D","WNT4",1
"426","ADNP","D","WSCD2",1
"427","ADNP","D","XPR1",1
"428","ADNP","D","XXBAC",1
"429","ADNP","D","XXYLT1",1
"430","ADNP","D","Y_RNA.478",1
"431","ADNP","D","ZDHHC14",1
"432","ADNP","D","ZFP36L2",1
"433","ADNP","D","ZMIZ1",1
"434","ADNP","D","ZMYND8",1
"435","ADNP","D","ZNF217",1
"436","ADNP","D","ZNF618",1
"437","AHR","C","CYP1A1",1
"438","AHR","C","CYP1A2",1
"439","AHR","C","CYP1B1",1
"440","AHR","C","FOS",1
"441","AHR","C","MYC",1
"442","AHR","C","UGT1A6",1
"443","AHR","C","ASAP1",1
"444","AHR","C","ERG",1
"445","AHR","C","VGLL4",1
"446","AHR","C","ARHGAP15",1
"447","AHR","C","ARID5B",1
"448","AHR","C","CREB5",1
"449","AHR","C","CTNNA1",1
"450","AHR","C","CTNNA2",1
"451","AHR","C","DOCK4",1
"452","AHR","C","EPB41L2",1
"453","AHR","C","FRMD4A",1
"454","AHR","C","GAS7",1
"455","AHR","C","KAZN",1
"456","AHR","C","KDM4C",1
"457","AHR","C","LHFPL2",1
"458","AHR","C","MAP4K4",1
"459","AHR","C","MAST4",1
"460","AHR","C","MID1",1
"461","AHR","C","MYO1B",1
"462","AHR","C","NCOR2",1
"463","AHR","C","NFATC2",1
"464","AHR","C","NRP2",1
"465","AHR","C","PHACTR3",1
"466","AHR","C","PLCB1",1
"467","AHR","C","RAPGEF4",1
"468","AHR","C","RBMS1",1
"469","AHR","C","RUNX1",1
"470","AHR","C","SIPA1L2",1
"471","AHR","C","SLCO3A1",1
"472","AHR","C","SOS1",1
"473","AHR","C","SULF2",1
"474","AHR","C","TRIM37",1
"475","AHR","C","TRIO",1
"476","AHR","C","TRPS1",1
"477","AHR","C","TSHZ2",1
"478","AHR","C","UTRN",1
"479","AHR","C","ZNF217",1
"480","AHR","C","ZNF385D",1
"481","AR","A","ABCE1",1
"482","AR","A","ACAD10",1
"483","AR","A","ACP3",1
"484","AR","A","AHSG",1
"485","AR","A","AKR1B1",1
"486","AR","A","AKR1C3",-1
"487","AR","A","AKT1",1
"488","AR","A","ALPG",1
"489","AR","A","ANAPC10",1
"490","AR","A","AP2M1",1
"491","AR","A","APPBP2",1
"492","AR","A","ATF6",1
"493","AR","A","ATM",1
"494","AR","A","ATP2B4",1
"495","AR","A","BABAM2",1
"496","AR","A","BANF1",1
"497","AR","A","BTD",1
"498","AR","A","C1orf21",1
"499","AR","A","CCNG2",1
"500","AR","A","CD4",1
"501","AR","A","CDC6",1
"502","AR","A","CDH2",1
"503","AR","A","CDKL5",1
"504","AR","A","CDKN1A",1
"505","AR","A","CITED2",1
"506","AR","A","COASY",1
"507","AR","A","CPT2",1
"508","AR","A","CRISP1",1
"509","AR","A","CYCS",1
"510","AR","A","DBI",1
"511","AR","A","DDC",1
"512","AR","A","DDT",1
"513","AR","A","DHX15",1
"514","AR","A","EEF1AKMT3",1
"515","AR","A","EGFR",1
"516","AR","A","EIF3I",1
"517","AR","A","ELF3",1
"518","AR","A","ERBB3",1
"519","AR","A","ESRRA",1
"520","AR","A","EYA2",1
"521","AR","A","FAM13A",1
"522","AR","A","FAM174B",1
"523","AR","A","FKBP5",1
"524","AR","A","FOXA1",1
"525","AR","A","FXYD3",1
"526","AR","A","GLRX",1
"527","AR","A","GNL1",1
"528","AR","A","GRB10",1
"529","AR","A","GTF2F1",1
"530","AR","A","H2BC21",1
"531","AR","A","HES1",1
"532","AR","A","HK2",1
"533","AR","A","HLA-E",1
"534","AR","A","HNRNPA1",1
"535","AR","A","HSD17B11",1
"536","AR","A","IFI35",1
"537","AR","A","IGF1R",1
"538","AR","A","IGFBP3",1
"539","AR","A","IGHG1",1
"540","AR","A","IL1R1",1
"541","AR","A","JUN",1
"542","AR","A","KCNH2",1
"543","AR","A","KIAA1217",-1
"544","AR","A","KLF5",1
"545","AR","A","KLK2",1
"546","AR","A","KLK3",1
"547","AR","A","KLK4",1
"548","AR","A","KRT18",1
"549","AR","A","KRT8",1
"550","AR","A","LIFR",1
"551","AR","A","LOC440157",1
"552","AR","A","MED1",1
"553","AR","A","MMP13",1
"554","AR","A","MRPS27",1
"555","AR","A","MT2A",1
"556","AR","A","MUC1",-1
"557","AR","A","MYC",1
"558","AR","A","NCOA2",-1
"559","AR","A","NDRG1",1
"560","AR","A","NKX3-1",1
"561","AR","A","NLGN4X",1
"562","AR","A","NME7",1
"563","AR","A","NPAT",1
"564","AR","A","NPEPPS",1
"565","AR","A","NUP214",1
"566","AR","A","ORM1",1
"567","AR","A","ORM2",1
"568","AR","A","PEX6",1
"569","AR","A","PGC",1
"570","AR","A","PIGR",1
"571","AR","A","PIN1",1
"572","AR","A","PMAIP1",1
"573","AR","A","PMEPA1",1
"574","AR","A","PNPLA4",1
"575","AR","A","PNRC1",1
"576","AR","A","PPP2R5D",1
"577","AR","A","PRAME",1
"578","AR","A","PRKCD",1
"579","AR","A","PRPS1",1
"580","AR","A","PTGS2",-1
"581","AR","A","PTPN9",1
"582","AR","A","PTPRM",1
"583","AR","A","QSOX1",1
"584","AR","A","RBMX",1
"585","AR","A","RBPMS",1
"586","AR","A","RELA",-1
"587","AR","A","RNASE4",1
"588","AR","A","SCAP",1
"589","AR","A","SCNN1A",1
"590","AR","A","SDF2",1
"591","AR","A","SERPINB5",-1
"592","AR","A","SERPINI1",1
"593","AR","A","SLC25A11",1
"594","AR","A","SMARCA2",1
"595","AR","A","SMS",1
"596","AR","A","SNAI2",1
"597","AR","A","SORD",1
"598","AR","A","SOX4",1
"599","AR","A","SPDEF",1
"600","AR","A","STK39",1
"601","AR","A","STXBP2",1
"602","AR","A","SUOX",1
"603","AR","A","SUSD6",1
"604","AR","A","TESK1",1
"605","AR","A","THRA",1
"606","AR","A","TMPRSS2",1
"607","AR","A","TNFRSF1A",1
"608","AR","A","TRPS1",1
"609","AR","A","UBC",1
"610","AR","A","UBE2D3",1
"611","AR","A","UGT2B15",1
"612","AR","A","VAPA",1
"613","AR","A","VEGFA",1
"614","AR","A","XPA",1
"615","AR","A","ZBTB16",1
"616","AR","A","ZCCHC9",1
"617","AR","A","ZFHX4",1
"618","AR","A","ZNF559",1
"619","ARID2","C","AGTPBP1",1
"620","ARID2","C","ATXN7",1
"621","ARID2","C","BAZ2A",1
"622","ARID2","C","BBX",1
"623","ARID2","C","CACUL1",1
"624","ARID2","C","CDK17",1
"625","ARID2","C","CHD2",1
"626","ARID2","C","CHD9",1
"627","ARID2","C","CPSF6",1
"628","ARID2","C","FOXJ3",1
"629","ARID2","C","HNRNPH1",1
"630","ARID2","C","HNRNPL",1
"631","ARID2","C","JMJD1C",1
"632","ARID2","C","LRP6",1
"633","ARID2","C","MAP4K5",1
"634","ARID2","C","MLLT10",1
"635","ARID2","C","MSI2",1
"636","ARID2","C","NCOA2",1
"637","ARID2","C","NFAT5",1
"638","ARID2","C","PAWR",1
"639","ARID2","C","RBPJ",1
"640","ARID2","C","RCOR3",1
"641","ARID2","C","SIAH1",1
"642","ARID2","C","SOS1",1
"643","ARID2","C","TIAL1",1
"644","ARID2","C","TNPO1",1
"645","ARID2","C","USP3",1
"646","ARID2","C","WAC",1
"647","ARID2","C","ZCCHC2",1
"648","ARID2","C","ZNF131",1
"649","ARID3A","C","IGHV1-69",1
"650","ARID3A","C","IGHV3-23",1
"651","ARID3A","C","ACKR2",1
"652","ARID3A","C","BAZ2A",1
"653","ARID3A","C","BCAT1",1
"654","ARID3A","C","CCR7",1
"655","ARID3A","C","CIC",1
"656","ARID3A","C","CYTH1",1
"657","ARID3A","C","DDIT4",1
"658","ARID3A","C","DENND3",1
"659","ARID3A","C","ERN1",1
"660","ARID3A","C","FOXK1",1
"661","ARID3A","C","GAB2",1
"662","ARID3A","C","GRK6",1
"663","ARID3A","C","KCNAB2",1
"664","ARID3A","C","MKNK2",1
"665","ARID3A","C","MNT",1
"666","ARID3A","C","PLIN2",1
"667","ARID3A","C","PTK2B",1
"668","ARID3A","C","SEC14L1",1
"669","ARID3A","C","ST3GAL1",1
"670","ARID3A","C","STK10",1
"671","ARID3A","C","TGIF1",1
"672","ARID3A","C","ZBTB7B",1
"673","ARID3A","C","ZC3H3",1
"674","ARNT","C","BHLHE40",1
"675","ARNT","C","CYP1B1",1
"676","ARNT","C","EPO",1
"677","ARNT","C","LDHA",1
"678","ARNT","C","UGT1A6",1
"679","ARNT","C","VEGFA",1
"680","ARNT","C","ANGPT1",1
"681","ARNT","C","ESR1",1
"682","ARNT","C","AFF1",1
"683","ARNT","C","ALDOA",1
"684","ARNT","C","ANK3",1
"685","ARNT","C","ARID1B",1
"686","ARNT","C","ARID5B",1
"687","ARNT","C","ASAP1",1
"688","ARNT","C","CDH4",1
"689","ARNT","C","CTNNA2",1
"690","ARNT","C","DAAM1",1
"691","ARNT","C","DOCK1",1
"692","ARNT","C","DOCK4",1
"693","ARNT","C","DST",1
"694","ARNT","C","DYNC2H1",1
"695","ARNT","C","EIF3H",1
"696","ARNT","C","ENO1",1
"697","ARNT","C","ERC1",1
"698","ARNT","C","EXOC6B",1
"699","ARNT","C","FNDC3B",1
"700","ARNT","C","GLI3",1
"701","ARNT","C","GTDC1",1
"702","ARNT","C","IQSEC1",1
"703","ARNT","C","LPP",1
"704","ARNT","C","MACROD2",1
"705","ARNT","C","MED13L",1
"706","ARNT","C","MID1",1
"707","ARNT","C","NBEA",1
"708","ARNT","C","NFASC",1
"709","ARNT","C","NFIA",1
"710","ARNT","C","NLGN1",1
"711","ARNT","C","PIP4K2A",1
"712","ARNT","C","PTK2",1
"713","ARNT","C","PTPRD",1
"714","ARNT","C","PTPRR",1
"715","ARNT","C","RBMS1",1
"716","ARNT","C","RBMS3",1
"717","ARNT","C","RBPJ",1
"718","ARNT","C","RREB1",1
"719","ARNT","C","SLC22A23",1
"720","ARNT","C","SORL1",1
"721","ARNT","C","SOX5",1
"722","ARNT","C","SPAG9",1
"723","ARNT","C","SPOCK1",1
"724","ARNT","C","TBC1D5",1
"725","ARNT","C","TCF12",1
"726","ARNT","C","TCF4",1
"727","ARNT","C","TENM2",1
"728","ARNT","C","TFRC",1
"729","ARNT","C","THSD7A",1
"730","ARNT","C","TRIO",1
"731","ARNT","C","TTLL5",1
"732","ARNT","C","UVRAG",1
"733","ARNT","C","VGLL4",1
"734","ARNT","C","VPS13B",1
"735","ARNT","C","VPS13D",1
"736","ARNT","C","WSCD1",1
"737","ARNTL","A","AVP",1
"738","ARNTL","A","BHLHE40",1
"739","ARNTL","A","CRY1",1
"740","ARNTL","A","CRY2",1
"741","ARNTL","A","DBP",1
"742","ARNTL","A","NR1D1",1
"743","ARNTL","A","NR1D2",1
"744","ARNTL","A","PER1",1
"745","ARNTL","A","PER2",1
"746","ARNTL","A","PER3",1
"747","ASCL1","C","PCSK6",-1
"748","ASCL1","C","ADCY5",1
"749","ASCL1","C","ADGRG1",1
"750","ASCL1","C","AGBL4",1
"751","ASCL1","C","ANK1",1
"752","ASCL1","C","ARHGEF10L",1
"753","ASCL1","C","ATP11A",1
"754","ASCL1","C","BAHCC1",1
"755","ASCL1","C","CCDC57",1
"756","ASCL1","C","CCDC88B",1
"757","ASCL1","C","CCDC88C",1
"758","ASCL1","C","CCNY",1
"759","ASCL1","C","CHRNB4",1
"760","ASCL1","C","CPLX2",1
"761","ASCL1","C","DLGAP4",1
"762","ASCL1","C","FAM13A",1
"763","ASCL1","C","FARP1",1
"764","ASCL1","C","FHL2",1
"765","ASCL1","C","GOLM1",1
"766","ASCL1","C","HPCAL1",1
"767","ASCL1","C","IQSEC1",1
"768","ASCL1","C","KALRN",1
"769","ASCL1","C","LFNG",1
"770","ASCL1","C","LGR6",1
"771","ASCL1","C","MPRIP",1
"772","ASCL1","C","MYO7A",1
"773","ASCL1","C","NCOR2",1
"774","ASCL1","C","NIBAN2",1
"775","ASCL1","C","NOL4L",1
"776","ASCL1","C","PGS1",1
"777","ASCL1","C","PKP1",1
"778","ASCL1","C","PLA2G6",1
"779","ASCL1","C","PLXNA2",1
"780","ASCL1","C","PPM1H",1
"781","ASCL1","C","PTPRD",1
"782","ASCL1","C","PTPRT",1
"783","ASCL1","C","RBFOX3",1
"784","ASCL1","C","RNF165",1
"785","ASCL1","C","RUNX1",1
"786","ASCL1","C","SMPD3",1
"787","ASCL1","C","SPOCK1",1
"788","ASCL1","C","ST18",1
"789","ASCL1","C","TACC2",1
"790","ASCL1","C","TCF20",1
